Name,Price per Unit,Price per Measure,Promo,Stock
Leffe Blonde Abbey Beer Bottle 750ml,£3,£4.00 per litre,,In stock
Hobgoblin Ale Bottles 6 x 500ml,£9,£3.00 per litre,,In stock
K Cider Cans 4 x 440ml,£6,£3.41 per litre,,In stock
Magners Original Cider Cans 4 x 440ml,£3.75,£2.13 per litre,,In stock
Beck's German Pilsner Beer Bottles 6 x 275ml,£5.25,£3.18 per litre,,In stock
Goose Island Golden Goose Lager Beer Cans 4 x 440ml,£6,£3.41 per litre,,In stock
Crumpton Oaks Apple Medium Cider 10 x 440ml,£5.99,£1.36 per litre,,In stock
Mike's Hard Seltzer Variety Pack 6 x 330ml,£9,£4.55 per litre,,In stock
Budweiser Lager Beer Bottles 15 x 300ml,£12,£2.67 per litre,,In stock
Boddingtons Draught Bitter Beer Cans 18 x 440ml,£16,£2.02 per litre,,In stock
Duralex Conical Pint Tumbler ,£2.50,£2.50 each,,In stock
Goose Island Variety Pack 8 x 330ml,£11.50,£4.36 per litre,,In stock
St Peters Without Gold Alcohol Free Beer 500ml,£1.30,£2.60 per litre,,Out of stock
Leffe Brune Abbey Beer Bottle 750ml,£3,£4.00 per litre,,Out of stock
Brewdog Hazy Jane 12 x 330ml,£14,35.4p per 100ml,,Out of stock
Michelob Ultra Superior Light Lager Beer Bottles 12 x 330ml,£11,£2.78 per litre,,Out of stock
Corona Extra Premium Lager Beer Cans 10 x 330ml,£7.99,£2.42 per litre,,Out of stock
Harbour Brewing Company Hopbox 10 x 330ml,£12,£3.64 per litre,,Out of stock
Mike's Hard Seltzer Variety Pack 12 x 330ml,£18,£4.55 per litre,,Out of stock
Asahi Super Dry 24 x 350ml,£30,£3.57 per litre,,Out of stock
